11.305: [GC 11.305: [ParNew: 3517K->127K(3904K), 0.0004243 secs] 10126K->6752K(12552K), 0.0004589 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.307: [GC 11.307: [ParNew: 3496K->179K(3904K), 0.0004416 secs] 10121K->6814K(12552K), 0.0004793 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.309: [GC 11.309: [ParNew: 3522K->183K(3904K), 0.0004203 secs] 10157K->6818K(12552K), 0.0004534 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.312: [GC 11.312: [ParNew: 3515K->65K(3904K), 0.0003460 secs] 10150K->6700K(12552K), 0.0003836 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.314: [GC 11.314: [ParNew: 3437K->67K(3904K), 0.0003691 secs] 10072K->6702K(12552K), 0.0004105 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.318: [GC 11.318: [ParNew: 3452K->202K(3904K), 0.0004069 secs] 10087K->6836K(12552K), 0.0004455 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.320: [GC 11.321: [ParNew: 3583K->138K(3904K), 0.0003845 secs] 10217K->6773K(12552K), 0.0004198 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.323: [GC 11.323: [ParNew: 3492K->143K(3904K), 0.0008843 secs] 10127K->6778K(12552K), 0.0009353 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.326: [GC 11.326: [ParNew: 3531K->76K(3904K), 0.0003969 secs] 10165K->6710K(12552K), 0.0004322 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.328: [GC 11.328: [ParNew: 3465K->154K(3904K), 0.0005220 secs] 10100K->6788K(12552K), 0.0005591 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.331: [GC 11.331: [ParNew: 3525K->156K(3904K), 0.0004725 secs] 10159K->6790K(12552K), 0.0005074 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.333: [GC 11.333: [ParNew: 3510K->80K(3904K), 0.0003470 secs] 10144K->6715K(12552K), 0.0003814 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.335: [GC 11.335: [ParNew: 3337K->161K(3904K), 0.0003570 secs] 9971K->6796K(12552K), 0.0003899 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.338: [GC 11.338: [ParNew: 3549K->245K(3904K), 0.0005215 secs] 10184K->6879K(12552K), 0.0005616 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.341: [GC 11.341: [ParNew: 3611K->84K(3904K), 0.0003521 secs] 10246K->6719K(12552K), 0.0003845 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.343: [GC 11.343: [ParNew: 3476K->167K(3904K), 0.0004082 secs] 10110K->6802K(12552K), 0.0004512 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.346: [GC 11.346: [ParNew: 3512K->170K(3904K), 0.0004354 secs] 10147K->6805K(12552K), 0.0004725 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.355: [GC 11.355: [ParNew: 3562K->8K(3904K), 0.0003955 secs] 10197K->6642K(12552K), 0.0004292 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.363: [GC 11.363: [ParNew: 3398K->40K(3904K), 0.0004453 secs] 10032K->6675K(12552K), 0.0004886 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.367: [GC 11.367: [ParNew: 3425K->60K(3904K), 0.0004472 secs] 10060K->6694K(12552K), 0.0004900 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.370: [GC 11.370: [ParNew: 3416K->66K(3904K), 0.0004453 secs] 10051K->6700K(12552K), 0.0004897 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.373: [GC 11.373: [ParNew: 3450K->47K(3904K), 0.0004483 secs] 10085K->6681K(12552K), 0.0004897 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.377: [GC 11.377: [ParNew: 3395K->80K(3904K), 0.0005084 secs] 10030K->6715K(12552K), 0.0005622 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.381: [GC 11.381: [ParNew: 3415K->86K(3904K), 0.0004691 secs] 10050K->6721K(12552K), 0.0005131 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.383: [GC 11.384: [ParNew: 3421K->95K(3904K), 0.0004746 secs] 10056K->6730K(12552K), 0.0005164 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.388: [GC 11.388: [ParNew: 3468K->140K(3904K), 0.0008963 secs] 10102K->6775K(12552K), 0.0009538 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.391: [GC 11.391: [ParNew: 3505K->62K(3904K), 0.0007100 secs] 10139K->6697K(12552K), 0.0007605 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
